detector,descriptor,Index,Average,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Image 7,Image 8,Image 9,Image 10
FAST,BRIEF,1,3.702106,4.43913,3.91984,3.45944,3.48037,3.38095,4.19665,3.55476,3.57722,3.53655,3.47615
FAST,ORB,2,3.783383,3.94015,3.8546,3.75371,3.57264,3.59946,3.64896,3.70388,4.08153,3.84943,3.82947
FAST,BRISK,3,6.734788,6.9849,6.91782,6.52545,6.73125,6.70081,6.64603,6.77115,6.60957,6.69904,6.76186
ORB,BRIEF,4,7.486431,7.66473,7.93645,7.22022,7.32227,7.28972,7.2943,7.75435,7.29871,7.62554,7.45802
ORB,BRISK,5,9.33832,10.1758,9.25498,8.94379,8.86719,9.09717,9.45561,9.31634,9.33136,9.62415,9.31681
ORB,ORB,6,12.4345,12.5553,12.3115,12.5298,12.4071,12.3481,12.3645,12.2921,12.0965,12.5868,12.8533
SHITOMASI,ORB,7,12.91833,12.6712,12.9656,12.0634,13.3531,14.8775,13.5299,12.36,12.3539,12.7024,12.3063
SHITOMASI,BRISK,8,13.80507,13.7907,14.1417,13.9328,14.5558,13.8974,13.9085,13.3421,13.1768,13.2635,14.0414
HARRIS,BRIEF,9,14.78863,12.5633,12.218,12.8536,12.4973,12.8858,26.914,12.3094,14.5712,13.1331,17.9406
HARRIS,ORB,10,15.18648,13.8111,12.9788,12.7792,13.0549,13.0984,27.5266,12.234,14.6536,13.3292,18.399
HARRIS,BRISK,11,15.90866,12.742,13.0684,12.7508,13.1634,14.772,30.4211,12.8112,15.1328,15.2048,19.0201
SHITOMASI,BRIEF,12,16.03263,18.4042,16.3719,16.1502,15.6054,15.7389,15.5653,16.0174,15.6096,15.1174,15.746
FAST,SIFT,13,27.18295,26.9537,26.2588,26.41,31.1766,26.174,26.6873,25.8734,25.4226,25.5959,31.2772
HARRIS,SIFT,14,28.99482,24.8036,25.3143,24.8986,24.9542,27.9952,42.2892,30.7872,28.8084,27.0163,33.0812
SHITOMASI,SIFT,15,29.32398,28.7059,28.1939,28.0027,34.6813,29.4973,28.0606,28.2277,27.3923,28.1219,32.3562
BRISK,BRIEF,16,42.36235,42.7631,43.5281,42.6938,42.4349,41.6823,42.2911,43.1742,40.7669,41.9355,42.3536
BRISK,BRISK,17,43.72565,43.9106,45.7912,43.3407,43.4862,44.8357,44.3256,43.6521,42.1083,42.1433,43.6628
FAST,FREAK,18,44.05409,46.0681,44.1001,43.6352,43.3483,44.3899,44.6859,44.0951,44.6193,42.605,42.994
BRISK,ORB,19,45.4867,45.034,46.1273,44.9457,44.6563,46.9573,45.8771,45.9847,44.8552,45.0235,45.4059
ORB,FREAK,20,47.29262,47.0378,47.7478,45.7488,46.3016,46.1501,46.9043,48.8049,47.3811,48.7209,48.1289
ORB,SIFT,21,49.34296,48.3667,45.4849,48.8291,49.8727,45.7069,48.4014,50.9026,51.3032,53.6206,50.9415
SHITOMASI,FREAK,22,51.79186,55.5382,52.605,49.3933,50.9834,52.032,51.2648,51.8939,51.2096,51.7975,51.2009
HARRIS,FREAK,23,54.38799,51.3234,51.0457,52.9017,51.6806,52.1853,65.7024,49.9261,52.7715,58.0396,58.3036
AKAZE,BRIEF,24,69.07179,69.6093,78.3305,65.7116,69.2506,61.6356,64.2548,68.3277,74.1839,74.1095,65.3044
AKAZE,BRISK,25,71.22818,65.2185,75.1426,72.8672,72.0831,68.5403,70.9185,70.5775,69.8389,74.1766,72.9186
AKAZE,ORB,26,74.6024,71.3376,79.3092,77.8638,72.531,73.9763,75.2406,76.6419,71.0498,74.7155,73.3583
BRISK,SIFT,27,75.218,79.2656,79.3326,77.0266,77.1148,77.8258,72.9639,75.6917,71.3444,71.0514,70.5632
BRISK,FREAK,28,83.368,82.4261,84.7418,83.5511,82.469,84.4052,83.5283,82.9205,82.0092,84.3177,83.3111
AKAZE,SIFT,29,96.97757,105.952,91.9101,93.057,91.3063,100.698,102.657,96.9342,96.3932,90.2849,100.583
AKAZE,FREAK,30,107.0848,100.809,106.294,102.493,105.92,104.606,110.094,109.643,111.646,110.532,108.811
SIFT,BRISK,31,124.2372,125.866,117.973,122.513,121.525,121.638,133.68,125.224,125.903,120.6,127.45
SIFT,BRIEF,32,128.0174,126.696,131.434,133.033,138.586,136.484,125.108,123.061,123.533,120.625,121.614
AKAZE,AKAZE,33,131.0376,143.328,129.872,122.893,122.544,128.376,133.762,126.269,132.433,139.094,131.805
SIFT,FREAK,34,162.4968,159.599,158.142,159.258,160.335,161.733,163.85,166.069,164.12,166.273,165.589
